Word,Start,End,Length,UtteranceName,Speaker,Filename,Global_start,Global_end
petit,13.61,13.76,0.15000000000000036,99_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,917.61,917.76
un,13.44,13.61,0.16999999999999993,99_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,917.44,917.61
c'est,13.24,13.44,0.1999999999999993,99_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,917.24,917.44
discute,12.75,13.24,0.4900000000000002,99_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,916.75,917.24
qu'on,12.54,12.75,0.21000000000000085,99_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,916.54,916.75
faudrait,12.24,12.54,0.29999999999999893,99_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,916.24,916.54
qu'il,12.04,12.24,0.20000000000000107,99_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,916.04,916.24
ce,11.925,12.04,0.11499999999999844,99_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,915.925,916.04
heu,11.26,11.925,0.6650000000000009,99_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,915.26,915.925
faut,10.97,11.26,0.28999999999999915,99_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,914.97,915.26
il,10.88,10.97,0.08999999999999986,99_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,914.88,914.97
discute,10.13,10.88,0.75,99_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,914.13,914.88
